msa,base,action,mil_out,civ_out,mil_in,civ_in,mil_net,civ_net,net_contractor,direct,indirect,total_job_changes,ea_employment,changes_as_percent_of_employment
"Bangor, ME Metropolitan Statistical Area","Naval Reserve Center, Bangor",Close,-7,0,0,0,-7,0,0,-7,-2,-9,92291,0.0%
"Bangor, ME Metropolitan Statistical Area","Bangor International Airport Air Guard Station",Gain,0,0,45,195,45,195,0,240,173,413,92291,0.4%
"Barnstable Town, MA Metropolitan Statistical Area","Otis Air Guard Base",Close,-62,-443,0,0,-62,-443,0,-505,-322,-827,137499,-0.6%
"Baton Rouge, LA Metropolitan Statistical Area","Baton Rouge Army National Guard Reserve Center",Close,-128,0,11,0,-117,0,0,-117,-57,-174,411691,0.0%
"Baton Rouge, LA Metropolitan Statistical Area","Navy-Marine Corps Reserve Center Baton Rouge",Close,-18,0,0,0,-18,0,0,-18,-8,-26,411691,0.0%
"Baton Rouge, LA Metropolitan Statistical Area","Roberts U.S. Army Reserve Center, Baton Rouge",Close,-30,0,0,0,-30,0,0,-30,-14,-44,411691,0.0%
"Battle Creek, MI Metropolitan Statistical Area","W. K. Kellogg Airport Air Guard Station",Close,-68,-206,0,0,-68,-206,0,-274,-166,-440,74652,-0.6%
"Beaumont-Port Arthur, TX ","Me tropolitan Statistical Area Navy Reserve Center Orange,TX",Close,-11,0,0,0,-11,0,0,-11,-6,-17,193048,0.0%
"Bethesda-Frederick-Gaithersburg, MD Metropolitan Division","PFC Flair U.S. Army Reserve Center, Frederick",Close,-20,-2,0,0,-20,-2,0,-22,-15,-37,727010,0.0%
"Bethesda-Frederick-Gaithersburg, MD Metropolitan Division","Fort Detrick",Gain,0,0,76,43,76,43,-15,104,81,185,727010,0.0%
"Bethesda-Frederick-Gaithersburg, MD Metropolitan Division","National Naval Medical Center Bethesda",Gain,0,0,982,936,982,936,-29,1889,1529,3418,727010,0.5%
"Bethesda-Frederick-Gaithersburg, MD Metropolitan Division","Naval Surface Weapons Station Carderock",Gain,0,0,0,6,0,6,0,6,5,11,727010,0.0%
"Bethesda-Frederick-Gaithersburg, MD Metropolitan Division","Army Research Laboratory, Adelphi",Realign,0,-43,0,0,0,-43,0,-43,-39,-82,727010,0.0%
"Bethesda-Frederick-Gaithersburg, MD Metropolitan Division","I-270 Corridor",Realign,-16,-35,0,0,-16,-35,0,-51,-38,-89,727010,0.0%
"Birmingham-Hoover, AL Metropolitan Statistical Area","Fort Hanna Army National Guard Reserve Center Birmingham",Close,-28,0,0,0,-28,0,0,-28,-12,-40,622605,0.0%
"Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham Armed Forces Reserve Center",Realign,-146,-159,0,0,-146,-159,0,-305,-193,-498,622605,-0.1%
"Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham International Airport Air Guard Station",Realign,-66,-117,0,0,-66,-117,0,-183,-124,-307,622605,0.0%
"Bloomsburg-Berwick, PA Micropolitan Statistical Area","U.S. Army Reserve Center Bloomsburg",Close,-20,-2,0,0,-20,-2,0,-22,-12,-34,49836,-0.1%
